gene_list,time
ybiL,15000
ybiN,15000
ybiW,15000
yliF,15000
yliF,15000
deoR,15000
ECB_00831,15000
ECB_00832,15000
ECB_00840,15000
ECB_00844,15000
ECB_00849,15000
ybjN,15000
ybjO,15000
ybjQ,15000
ybjS,15000
ybjS,15000
ftsK,15000
ycaM,15000
ycaM,15000
pflA,15000
pflA,15000
ycaO,15000
ycaP,15000
serC,15000
kdsB,15000
mukB,15000
ycbS,15000
ycbS,15000
ycbS,15000
ycbU,15000
pqiA,15000
pqiB,15000
sulA,15000
yccS,15000
yccS,15000
hyaA,15000
appC,15000
yccC,15000
cspH,15000
torR,15000
yccE,15000
ymdF,15000
ycdJ,15000
putA,15000
ycdR,15000
ycdR,15000
ycdW,15000
ycdX,15000
ycdZ,15000
csgG,15000
csgF,15000
csgD,15000
mdoG,15000
grxB,15000
yceL,15000
yceL,15000
rimJ,15000
yceH,15000
flgB,15000
flgJ,15000
flgK,15000
flgK,15000
flgK,15000
rne,15000
fabH,15000
fabG,15000
fabF,15000
fhuE,15000
nagZ,15000
nagZ,15000
mfd,15000
ycfW,15000
ycfZ,15000
ycfD,15000
ymfB,15000
ymfB,15000
ycgG,15000
hlyE,15000
umuC,15000
umuC,15000
ycgO,15000
ycgY,15000
dhaK,15000
dhaR,15000
ychM,15000
chaB,15000
narL,15000
narK,15000
narG,15000
ychK,15000
ychK,15000
adhE,15000
trpC,15000
trpD,15000
topA,15000
ribA,15000
ribA,15000
yciR,15000
aldH,15000
goaG,15000
pspA,15000
ycjQ,15000
ycjS,15000
ycjV,15000
ycjV,15000
ompG,15000
ycjF,15000
abgR,15000
ECB_01341,15000
ECB_01341,15000
ompN,15000
ydbD,15000
hrpA,15000
hrpA,15000
gapC,15000
ydcJ,15000
tehA,15000
yncK,15000
ydcP,15000
ydcQ,15000
ydcV,15000
yncD,15000
yncG,15000
narZ,15000
narZ,15000
narU,15000
fdnG,15000
yddR,15000
dos,15000
yddW,15000
xasA,15000
pqqL,15000
yddB,15000
yddA,15000
ydeO,15000
ECB_01467,15000
yneB,15000
yneH,15000
sotB,15000
ECB_01510,15000
ECB_01530,15000
ECB_01546,15000
speG,15000
speG,15000
ynfE,15000
ynfI,15000
ydgA,15000
uidB,15000
uidA,15000
rnfB,15000
rnfC,15000
tyrS,15000
ydhH,15000
ydhQ,15000
ydhU,15000
ydhX,15000
ydhW,15000
pykF,15000
ydiM,15000
ydiN,15000
ydiQ,15000
ydiV,15000
arpB,15000
yniA,15000
ydjN,15000
katE,15000
celB,15000
astD,15000
astD,15000
astC,15000
yeaE,15000
yeaH,15000
yeaL,15000
yeaM,15000
yeaR,15000
yeaX,15000
fadD,15000
yoaA,15000
yoaB,15000
prc,15000
proQ,15000
yebA,15000
ruvB,15000
yecE,15000
yecP,15000
torZ,15000
torY,15000
cheZ,15000
cheR,15000
tap,15000
tar,15000
flhC,15000
tyrP,15000
yedY,15000
yedZ,15000
yeeI,15000
ECB_01908,15000
sbcB,15000
hisI,15000
wbbB,15000
wbbB,15000
vioB,15000
wzx,15000
rfbB,15000
wzxC,15000
wcaE,15000
wcaD,15000
wcaC,15000
wzc,15000
alkA,15000
yegD,15000
yegL,15000
yegN,15000
baeS,15000
yegZ,15000
ECB_01994,15000
ECB_02001,15000
ECB_02003,15000
ECB_02004,15000
gatD,15000
gatC,15000
yegV,15000
yegV,15000
yegW,15000
metG,15000
metG,15000
metG,15000
molR,15000
yehI,15000
yohC,15000
yeiA,15000
mglA,15000
yeiE,15000
yeiN,15000
fruK,15000
yejB,15000
yejB,15000
yejF,15000
ccmC,15000
alkB,15000
yojL,15000
rcsC,15000
rcsC,15000
atoS,15000
atoS,15000
atoC,15000
atoC,15000
yfaS,15000
gyrA,15000
yfaL,15000
glpT,15000
yfaD,15000
yfaW,15000
pmrD,15000
menC,15000
nuoL,15000
nuoL,15000
nuoH,15000
yfbS,15000
pta,15000
yfcC,15000
yfcH,15000
hisP,15000
purF,15000
flk,15000
yfcTU,15000
evgA,15000
evgS,15000
yfdW,15000
yfeO,15000
nupC,15000
yfeA,15000
yfeD,15000
yfeS,15000
yfeU,15000
talA,15000
ypfI,15000
ypfI,15000
purC,15000
gcvR,15000
hyfA,15000
hyfB,15000
hyfF,15000
perM,15000
upp,15000
xseA,15000
yfgJ,15000
yfhM,15000
yphC,15000
yphH,15000
yfhD,15000
yfiK,15000
clpB,15000
rluD,15000
yfiR,15000
