gene_list,time
ECB_02833,15000
ECB_02836,15000
ECB_02836,15000
ECB_02838,15000
yghG,15000
yghJ,15000
yghS,15000
yghT,15000
gss,15000
hybO,15000
hybO,15000
yghB,15000
parC,15000
tolC,15000
ygiC,15000
ygiE,15000
rfaE,15000
glnE,15000
ygiM,15000
ttdA,15000
ygjE,15000
ygjG,15000
ygjP,15000
ygjR,15000
ygjT,15000
uxaA,15000
yhaM,15000
garK,15000
mtr,15000
infB,15000
nusA,15000
mtgA,15000
rplM,15000
mreC,15000
yhdT,15000
rrfD,15000
rpsD,15000
gspA,15000
gspA,15000
gspG,15000
gspJ,15000
kefB,15000
prkB,15000
prkB,15000
pabA,15000
nirB,15000
cysG,15000
mrcA,15000
ompR,15000
malQ,15000
malP,15000
malP,15000
malT,15000
malT,15000
malT,15000
ugpE,15000
rpoH,15000
yhiH,15000
yhiS,15000
yhjA,15000
yhjA,15000
ldrD,15000
dppB,15000
dppA,15000
xylF,15000
yiaN,15000
lyxK,15000
yiaU,15000
waaT,15000
mutM,15000
ECB_03519,15000
yicL,15000
yicM,15000
gidA,15000
rfe,15000
hemX,15000
pldA,15000
ECB_03710,15000
ECB_03715,15000
ECB_03715,15000
bipA,15000
yiiD,15000
ECB_03786,15000
ECB_03786,15000
hslU,15000
ftsN,15000
metL,15000
iclR,15000
metH,15000
yjbB,15000
ubiC,15000
actP,15000
alsA,15000
rpiR,15000
phnP,15000
phnI,15000
yjdF,15000
lysU,15000
yjdC,15000
yjeI,15000
yjeM,15000
yjfL,15000
sgaU,15000
cpdB,15000
cysQ,15000
ytfN,15000
ytfR,15000
cybC,15000
mgtA,15000
yjgH,15000
yjgJ,15000
yjgN,15000
idnR,15000
idnD,15000
yjgB,15000
insB-25,15000
sgcQ,15000
yjhA,15000
fimH,15000
gntP,15000
gntP,15000
yjiV,15000
hsdR,15000
mrr,15000
hpaB,15000
hpaB,15000
dnaT,15000
leuP,15000
sms,15000
nadR,15000
slt,15000
slt,15000
arcA,15000
thrA,20000
yaaJ,20000
nhaA,20000
nhaA,20000
caiC,20000
yaaU,20000
yaaU,20000
kefC,20000
hepA,20000
hepA,20000
thiP,20000
thiP,20000
thiP,20000
ilvI,20000
murF,20000
ftsZ,20000
secA,20000
aroP,20000
aroP,20000
aceE,20000
aceF,20000
gcd,20000
gcd,20000
yadG,20000
yadH,20000
htrE,20000
pcnB,20000
yadS,20000
dgt,20000
glnD,20000
map,20000
yaeT,20000
lpxD,20000
accA,20000
ldcC,20000
tilS,20000
yafC,20000
ECB_00212,20000
yhhI,20000
pepD,20000
yagW,20000
yagW,20000
yagX,20000
ykgM,20000
ykgC,20000
ykgF,20000
yahA,20000
yahB,20000
yahF,20000
yahJ,20000
prpR,20000
prpE,20000
lacI,20000
tauA,20000
tauB,20000
hemB,20000
yaiT,20000
yajF,20000
phoB,20000
brnQ,20000
proY,20000
ybaE,20000
ybaE,20000
glnK,20000
amtB,20000
ybaL,20000
ybbD,20000
allR,20000
allC,20000
ylbE,20000
purK,20000
sfmA,20000
sfmC,20000
sfmF,20000
ECB_00512,20000
ybcH,20000
ECB_00530,20000
citT,20000
citF,20000
dcuC,20000
cspE,20000
ybeV,20000
gltL,20000
gltJ,20000
ybeZ,20000
asnB,20000
pgm,20000
pgm,20000
potE,20000
kdpD,20000
kdpB,20000
nei,20000
ybgP,20000
sdhB,20000
sucA,20000
pnuC,20000
ECB_00734,20000
ECB_00735,20000
ECB_00737,20000
ECB_00739,20000
moaA,20000
moaB,20000
glnQ,20000
ybiP,20000
ybiV,20000
ybiW,20000
cmr,20000
ybjI,20000
ECB_00817,20000
ECB_00832,20000
ECB_00845,20000
ECB_00845,20000
ECB_00845,20000
ybjT,20000
hcr,20000
ybjE,20000
cspD,20000
ftsK,20000
ftsK,20000
focA,20000
rpsA,20000
lpxK,20000
ycbJ,20000
mukF,20000
ycbB,20000
ycbB,20000
pncB,20000
ycbR,20000
ycbT,20000
pqiA,20000
pqiB,20000
ompA,20000
yccS,20000
yccF,20000
helD,20000
yccW,20000
hyaE,20000
yccC,20000
yccZ,20000
yccZ,20000
cspH,20000
torS,20000
torS,20000
torT,20000
torC,20000
ycdQ,20000
ycdS,20000
csgA,20000
msyB,20000
grxB,20000
mviM,20000
rne,20000
plsX,20000
mfd,20000
potD,20000
phoP,20000
trmU,20000
ycgG,20000
hlyE,20000
